Zip,Number_Aged_People,percentage,City
79835,1153.036,0.012773723,El Paso
79901,2028.796,0.022475688,El Paso
79902,3486,0.038619087,El Paso
79903,3333.585,0.036930582,El Paso
79904,4087.2,0.045279384,El Paso
79905,5125.934,0.05678683,El Paso
79906,9.726,0.000107748,El Paso
79907,8096.213,0.089692586,El Paso
79908,0,0,El Paso
79911,144.596,0.001601883,El Paso
79912,9062.088,0.100392876,El Paso
79915,7507.51,0.083170735,El Paso
79916,0,0,El Paso
79920,0,0,El Paso
79922,1407.284,0.015590368,El Paso
79924,8146.536,0.090250081,El Paso
79925,6198.45,0.068668525,El Paso
79927,4554.352,0.050454652,El Paso
79928,2641.09,0.029258888,El Paso
79930,4444.292,0.04923537,El Paso
79932,2797.397,0.03099051,El Paso
79934,1044.918,0.011575955,El Paso
79935,3171.498,0.035134927,El Paso
79936,8947.145,0.099119498,El Paso
79938,2878.6,0.031890104,El Paso
79942,0,0,El Paso
79101,735.32,0.025732759,Amarillo
79102,1053.216,0.036857632,Amarillo
79103,1277.142,0.044693994,Amarillo
79104,803.322,0.028112511,Amarillo
79105,0,0,Amarillo
79106,4282.36,0.149862561,Amarillo
79107,2615.625,0.091534635,Amarillo
79108,2102.7,0.073584661,Amarillo
79109,7056.428,0.24694196,Amarillo
79110,1831.628,0.064098409,Amarillo
79111,56.695,0.00198406,Amarillo
79118,2096.7,0.073374689,Amarillo
79119,1912.747,0.066937194,Amarillo
79121,1416.654,0.049576261,Amarillo
79124,1334.712,0.046708674,Amarillo
79401,185.16,0.005957314,Lubbock
79403,2084.4,0.067063218,Lubbock
79404,1372.672,0.044164173,Lubbock
79406,0,0,Lubbock
79407,2220.305,0.071435808,Lubbock
79410,1171.452,0.037690146,Lubbock
79411,554.56,0.017842342,Lubbock
79412,1579.28,0.050811552,Lubbock
79413,3408.784,0.109673779,Lubbock
79414,2232.72,0.071835247,Lubbock
79415,1834.664,0.059028244,Lubbock
79416,3690.304,0.118731368,Lubbock
79423,4521.288,0.14546734,Lubbock
79424,6225.532,0.200299468,Lubbock
78681,4064.302,0.046421751,Austin
78701,712.151,0.008134065,Austin
78702,2298.039,0.026247802,Austin
78703,1970.88,0.022511049,Austin
78704,2858.752,0.032652168,Austin
78705,388.152,0.004433405,Austin
78712,0,0,Austin
78717,1512.176,0.017271811,Austin
78719,277.695,0.003171784,Austin
78721,1225.784,0.014000692,Austin
78722,791.678,0.009042408,Austin
78723,2604.555,0.029748774,Austin
78724,1038.928,0.011866455,Austin
78725,345.121,0.003941912,Austin
78726,664.377,0.007588399,Austin
78727,2201.55,0.025145721,Austin
78728,1707.561,0.019503465,Austin
78729,1939.476,0.022152358,Austin
78730,1055.649,0.012057439,Austin
78731,4069.035,0.04647581,Austin
78732,1447.941,0.01653813,Austin
78733,660.82,0.007547771,Austin
78734,3050.628,0.034843743,Austin
78735,2423.882,0.027685159,Austin
78736,1005.972,0.011490037,Austin
78737,1570.752,0.017940856,Austin
78738,1686.63,0.019264395,Austin
78739,1844.2,0.021064132,Austin
78741,1604.87,0.018330546,Austin
78742,135.388,0.001546378,Austin
78744,2227.584,0.025443077,Austin
78745,5557.494,0.06347673,Austin
78746,3239.648,0.037002696,Austin
78747,1798.768,0.020545215,Austin
78748,3174.172,0.036254841,Austin
78749,3258.9,0.037222589,Austin
78750,3148.86,0.035965732,Austin
78751,635.404,0.007257474,Austin
78752,1088.262,0.012429939,Austin
78753,3359.697,0.038373875,Austin
78754,1008.06,0.011513886,Austin
78756,935.34,0.010683291,Austin
78757,2612.334,0.029837625,Austin
78758,2865.292,0.032726867,Austin
78759,5484.915,0.062647746,Austin
