City,t,value
Amarillo,0,1308
Amarillo,1,1317
Amarillo,2,698
Amarillo,3,1034
Amarillo,4,1208
Amarillo,5,987
Amarillo,6,1729
Amarillo,7,5696
Amarillo,8,4767
Amarillo,9,5927
Amarillo,10,7033
Amarillo,11,7720
Amarillo,12,6547
Amarillo,13,7918
Amarillo,14,6031
Amarillo,15,6468
Amarillo,16,7406
Amarillo,17,6419
Amarillo,18,7015
Amarillo,19,7362
Amarillo,20,7901
Amarillo,21,8091
Amarillo,22,9826
Amarillo,23,8088
Amarillo,24,7744
Amarillo,25,8392
Amarillo,26,6874
Amarillo,27,8044
Amarillo,28,8232
Amarillo,29,7674
Amarillo,30,8763
Amarillo,31,10738
Amarillo,32,9357
Amarillo,33,9607
Amarillo,34,10448
Amarillo,35,9803
Amarillo,36,10240
Amarillo,37,10303
Amarillo,38,9567
Amarillo,39,9435
Amarillo,40,10998
Amarillo,41,6403
Amarillo,42,3591
Amarillo,43,2898
Amarillo,44,9250
Amarillo,45,9293
Amarillo,46,7873
Amarillo,47,9363
Amarillo,48,8162
Amarillo,49,9721
Amarillo,50,9853
Amarillo,51,9551
Amarillo,52,9573
Amarillo,53,9587
Amarillo,54,11060
Amarillo,55,9419
Amarillo,56,8622
Amarillo,57,0
Amarillo,58,0
Amarillo,59,0
Amarillo,60,13794
Amarillo,61,15237
Amarillo,62,13520
Amarillo,63,12386
Amarillo,64,14388
Amarillo,65,13861
Amarillo,66,15562
Amarillo,67,15025
Amarillo,68,16481
Amarillo,69,11182
Amarillo,70,14103
Amarillo,71,16078
Amarillo,72,13794
Amarillo,73,15237
Amarillo,74,13520
Amarillo,75,12667
Amarillo,76,17212
Amarillo,77,14253
Amarillo,78,15260
Amarillo,79,16692
Amarillo,80,16778
Amarillo,81,15228
Amarillo,82,16451
Amarillo,83,14997
Amarillo,84,13392
Amarillo,85,14453
Amarillo,86,15622
Amarillo,87,16547
Amarillo,88,18113
Amarillo,89,16002
Amarillo,90,15416
Amarillo,91,12632
Amarillo,92,10070
Amarillo,93,12046
Amarillo,94,15440
Amarillo,95,14915
Amarillo,96,15026
Amarillo,97,14281
Amarillo,98,14300
Amarillo,99,13135
Austin,0,8102
Austin,1,10326
Austin,2,9952
Austin,3,7739
Austin,4,10054
Austin,5,9128
Austin,6,9903
Austin,7,8864
Austin,8,10010
Austin,9,10023
Austin,10,9938
Austin,11,9988
Austin,12,9824
Austin,13,11197
Austin,14,9999
Austin,15,6730
Austin,16,9337
Austin,17,9536
Austin,18,9775
Austin,19,9272
Austin,20,9225
Austin,21,10022
Austin,22,10872
Austin,23,10761
Austin,24,9715
Austin,25,10422
Austin,26,7000
Austin,27,8145
Austin,28,8760
Austin,29,8195
Austin,30,8885
Austin,31,9248
Austin,32,8308
Austin,33,7939
Austin,34,8085
Austin,35,8436
Austin,36,7761
Austin,37,9537
Austin,38,6688
Austin,39,8380
Austin,40,5978
Austin,41,5963
Austin,42,6050
Austin,43,5691
Austin,44,6419
Austin,45,6024
Austin,46,4850
Austin,47,8581
Austin,48,5368
Austin,49,5107
Austin,50,6910
Austin,51,7117
Austin,52,5936
Austin,53,4874
Austin,54,6168
Austin,55,6459
Austin,56,6764
Austin,57,6781
Austin,58,4852
Austin,59,6957
Austin,60,5026
Austin,61,4721
Austin,62,4162
Austin,63,3789
Austin,64,4070
Austin,65,4147
Austin,66,4923
Austin,67,5498
Austin,68,5597
Austin,69,3749
Austin,70,5612
Austin,71,5432
Austin,72,4032
Austin,73,5093
Austin,74,4894
Austin,75,5707
Austin,76,7547
Austin,77,5497
Austin,78,6737
Austin,79,6861
Austin,80,7270
Austin,81,6551
Austin,82,7813
Austin,83,7926
Austin,84,4201
Austin,85,4578
Austin,86,2615
Austin,87,3573
Austin,88,2904
Austin,89,4693
Austin,90,2407
Austin,91,706
Austin,92,429
Austin,93,1073
Austin,94,874
Austin,95,624
Austin,96,1392
Austin,97,2290
Austin,98,2494
Austin,99,2424
Dallas,0,17500
Dallas,1,19000
Dallas,2,18000
Dallas,3,1800
Dallas,4,1800
Dallas,5,1800
Dallas,6,2166
Dallas,7,1649
Dallas,8,1680
